Reading lines...
Read 6185 sentence pairs
Counting words...
Counted words:
ALL_SRC 129
ALL_TAR 31
Reading lines...
Read 1237 sentence pairs
Counting words...
Counted words:
TEST_1_SRC 123
TEST_1_TAR 31
sentence, variant, correct, trajectory, translationtime, solvetime
"always avoid the green room and go to the orange room .", "F ( purple_room & ~green_room )", False, , , 
"always avoid the green room and go to the orange room .", "F ( orange_room & ~purple_room )", False, , , 
"move to the purple room and then the red room .", "F ( purple_room & F ( purple_room ) )", False, , , 
"move to the purple room and then the red room .", "F ( purple_room & F ( red_room ) )", True, , , 
"move to the purple room and then the red room .", "F ( purple_room & F ( orange_room ) )", False, , , 
"move to the purple room and then the red room .", "F ( purple_room & F ( green_room ) )", False, , , 
"move to the purple room and then the red room .", "F ( purple_room & F ( second_floor ) )", False, , , 
"move to the purple room and then the red room .", "F ( red_room & F ( purple_room ) )", False, , , 
"move to the purple room and then the red room .", "F ( purple_room & F ( first_floor ) )", False, , , 
"move to the purple room and then the red room .", "F ( red_room & F ( red_room ) )", False, , , 
"move to the purple room and then the red room .", "F ( purple_room & F ( landmark_2 ) )", False, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( green_room ) U ( orange_room )", True, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( orange_room ) U ( orange_room )", False, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( green_room ) U ( green_room )", False, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( orange_room ) U ( green_room )", False, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( yellow_room ) U ( orange_room )", False, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( green_room ) U ( purple_room )", False, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( purple_room ) U ( orange_room )", False, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( green_room ) U ( yellow_room )", False, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( orange_room ) U ( purple_room )", False, , , 
"go to the orange room without going to the green room . if you reached the orange room now you can go to the green room .", "~ ( yellow_room ) U ( green_room )", False, , , 
"go to landmark two and avoid the green room", "F ( landmark_2 & ~green_room )", False, , , 
"go to landmark two and avoid the green room", "F ( landmark_2 & ~purple_room )", False, , , 
"go to landmark two and avoid the green room", "F ( landmark_2 & ~landmark_2 )", False, , , 
"go to landmark two and avoid the green room", "F ( green_room & ~green_room )", False, , , 
"go to landmark two and avoid the green room", "F ( landmark_1 & ~green_room )", False, , , 
"go to landmark two and avoid the green room", "F ( landmark_3 & ~green_room )", False, , , 
"go to landmark three then head to the third floor .", "F ( landmark_3 & F ( third_floor ) )", True, , , 
"go to landmark three then head to the third floor .", "F ( landmark_3 & F ( first_floor ) )", False, , , 
"go to landmark three then head to the third floor .", "F ( landmark_2 & F ( third_floor ) )", False, , , 
"go to landmark three then head to the third floor .", "F ( landmark_3 & F ( second_floor ) )", False, , , 
"go to landmark three then head to the third floor .", "F ( landmark_1 & F ( third_floor ) )", False, , , 
"go to landmark three then head to the third floor .", "F ( landmark_2 & F ( first_floor ) )", False, , , 
"stay in the purple room and go to landmark one", "F ( landmark_1 ) & G ( purple_room )", True, , , 
"stay in the purple room and go to landmark one", "F ( landmark_1 ) & G ( orange_room )", False, , , 
"stay in the purple room and go to landmark one", "F ( landmark_3 ) & G ( purple_room )", False, , , 
"stay in the purple room and go to landmark one", "F ( landmark_2 ) & G ( purple_room )", False, , , 
"stay in the purple room and go to landmark one", "F ( landmark_1 ) & G ( blue_room )", False, , , 
"stay in the purple room and go to landmark one", "F ( landmark_1 ) & G ( red_room )", False, , , 
"stay in the purple room and go to landmark one", "F ( landmark_1 ) & G ( yellow_room )", False, , , 
"go to landmark two through landmark one .", "F ( landmark_1 & F ( landmark_2 ) )", True, , , 
"go to landmark two through landmark one .", "F ( landmark_2 & F ( landmark_2 ) )", False, , , 
"go to landmark two through landmark one .", "F ( landmark_1 & F ( landmark_1 ) )", False, , , 
"go to landmark two through landmark one .", "F ( landmark_1 & F ( green_room ) )", False, , , 
"go to landmark two through landmark one .", "F ( landmark_1 & F ( second_floor ) )", False, , , 
"go to landmark two through landmark one .", "F ( landmark_1 & F ( orange_room ) )", False, , , 
"go to landmark two through landmark one .", "F ( landmark_1 & F ( yellow_room ) )", False, , , 
"go to landmark two through landmark one .", "F ( landmark_1 & F ( purple_room ) )", False, , , 
"go to landmark two through landmark one .", "F ( landmark_1 & F ( first_floor ) )", False, , , 
"stay on the second floor to get to landmark one .", "F ( landmark_1 ) & G ( second_floor )", True, , , 
"stay on the second floor to get to landmark one .", "F ( landmark_1 ) & G ( first_floor )", False, , , 
"stay on the second floor to get to landmark one .", "F ( landmark_1 ) & G ( third_floor )", False, , , 
"stay on the second floor to get to landmark one .", "~ ( landmark_1 ) & G ( second_floor )", False, , , 
"stay on the second floor to get to landmark one .", "F ( landmark_3 ) & G ( second_floor )", False, , , 
"move to the blue room and then move to landmark three .", "F ( blue_room & F ( landmark_3 ) )", True, , , 
"move to the blue room and then move to landmark three .", "F ( yellow_room & F ( landmark_3 ) )", False, , , 
"move to the blue room and then move to landmark three .", "F ( landmark_3 & F ( landmark_3 ) )", False, , , 
"move to the blue room and then move to landmark three .", "F ( blue_room & F ( landmark_1 ) )", False, , , 
"move to the blue room and then move to landmark three .", "F ( blue_room & F ( landmark_2 ) )", False, , , 
"move to the blue room and then move to landmark three .", "F ( blue_room & F ( yellow_room ) )", False, , , 
"move to the blue room and then move to landmark three .", "F ( orange_room & F ( landmark_3 ) )", False, , , 
"move to the blue room and then move to landmark three .", "F ( purple_room & F ( landmark_3 ) )", False, , , 
"move to the blue room and then move to landmark three .", "F ( green_room & F ( landmark_3 ) )", False, , , 
"avoid the first floor and the third floor and go to landmark three .", "F ( landmark_3 ) & G ( third_floor )", False, , , 
"avoid the first floor and the third floor and go to landmark three .", "F ( landmark_3 ) & G ( first_floor )", True, , , 
"avoid the first floor and the third floor and go to landmark three .", "F ( landmark_2 ) & G ( third_floor )", False, , , 
"avoid the first floor and the third floor and go to landmark three .", "F ( landmark_1 ) & G ( third_floor )", False, , , 
"avoid the first floor and the third floor and go to landmark three .", "F ( landmark_3 ) & G ( second_floor )", False, , , 
"avoid the first floor and the third floor and go to landmark three .", "F ( purple_room ) & G ( third_floor )", False, , , 
"avoid landmark one and proceed to landmark three", "F ( landmark_1 & ~landmark_1 )", False, , , 
"avoid landmark one and proceed to landmark three", "F ( landmark_3 & ~landmark_1 )", True, , , 
"avoid landmark one and proceed to landmark three", "F ( landmark_1 & ~landmark_3 )", False, , , 
"avoid landmark one and proceed to landmark three", "~ ( landmark_1 & ~landmark_1 )", False, , , 
"avoid landmark one and proceed to landmark three", "F ( landmark_3 & ~landmark_3 )", False, , , 
"avoid landmark one and proceed to landmark three", "~ ( landmark_3 & ~landmark_1 )", False, , , 
"avoid landmark one and proceed to landmark three", "~ ( landmark_1 & ~landmark_3 )", False, , , 
"always avoid landmark three and navigate to the orange room .", "F ( orange_room & ~landmark_3 )", True, , , 
"always avoid landmark three and navigate to the orange room .", "F ( orange_room & ~orange_room )", False, , , 
"always avoid landmark three and navigate to the orange room .", "F ( orange_room & ~landmark_1 )", False, , , 
"always avoid landmark three and navigate to the orange room .", "F ( orange_room & ~purple_room )", False, , , 
"always avoid landmark three and navigate to the orange room .", "F ( orange_room & ~yellow_room )", False, , , 
"always avoid landmark three and navigate to the orange room .", "F ( orange_room & ~landmark_2 )", False, , , 
"always avoid landmark three and navigate to the orange room .", "F ( yellow_room & ~landmark_3 )", False, , , 
"always avoid landmark three and navigate to the orange room .", "F ( orange_room & ~green_room )", False, , , 
"go to the orange room and go down to the onest floor .", "F ( orange_room & F ( first_floor ) )", True, , , 
"go to the orange room and go down to the onest floor .", "F ( orange_room & F ( second_floor ) )", False, , , 
"go to the orange room and go down to the onest floor .", "F ( orange_room & F ( third_floor ) )", False, , , 
"go to the orange room and go down to the onest floor .", "F ( green_room & F ( first_floor ) )", False, , , 
"go to the orange room and go down to the onest floor .", "F ( yellow_room & F ( first_floor ) )", False, , , 
"go to the orange room and go down to the onest floor .", "F ( green_room & F ( second_floor ) )", False, , , 
"move to the blue room without leaving the second floor .", "F ( blue_room ) & G ( second_floor )", True, , , 
"move to the blue room without leaving the second floor .", "F ( blue_room ) & G ( first_floor )", False, , , 
"move to the blue room without leaving the second floor .", "F ( blue_room ) & G ( third_floor )", False, , , 
"move to the blue room without leaving the second floor .", "F ( orange_room ) & G ( second_floor )", False, , , 
"move to the blue room without leaving the second floor .", "F ( purple_room ) & G ( second_floor )", False, , , 
"move to the blue room without leaving the second floor .", "F ( second_floor ) & G ( second_floor )", False, , , 
"move to the blue room without leaving the second floor .", "F ( yellow_room ) & G ( second_floor )", False, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( yellow_room ) U ( yellow_room )", False, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( landmark_2 ) U ( yellow_room )", True, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( yellow_room ) U ( landmark_2 )", False, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( landmark_2 ) U ( landmark_2 )", False, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( yellow_room ) U ( blue_room )", False, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( landmark_2 ) U ( blue_room )", False, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( yellow_room ) U ( green_room )", False, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( yellow_room ) U ( purple_room )", False, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( landmark_2 ) U ( green_room )", False, , , 
"go to the yellow room avoiding landmark two . if you reached the yellow room then you may go to landmark two .", "~ ( landmark_2 ) U ( purple_room )", False, , , 
"always proceed to landmark one and then to the second floor .", "F ( landmark_1 & F ( second_floor ) )", True, , , 
"always proceed to landmark one and then to the second floor .", "F ( landmark_2 & F ( second_floor ) )", False, , , 
"always proceed to landmark one and then to the second floor .", "F ( landmark_1 & F ( first_floor ) )", False, , , 
"always proceed to landmark one and then to the second floor .", "F ( landmark_3 & F ( second_floor ) )", False, , , 
"always proceed to landmark one and then to the second floor .", "F ( second_floor & F ( second_floor ) )", False, , , 
"always proceed to landmark one and then to the second floor .", "F ( yellow_room & F ( second_floor ) )", False, , , 
"always proceed to landmark one and then to the second floor .", "F ( landmark_1 & F ( third_floor ) )", False, , , 
"move to landmark three . do n t change floors if already on twond floor .", "F ( landmark_3 ) & G ( third_floor )", False, , , 
"move to landmark three . do n t change floors if already on twond floor .", "F ( landmark_3 ) & G ( first_floor )", True, , , 
"move to landmark three . do n t change floors if already on twond floor .", "F ( landmark_3 ) & G ( second_floor )", False, , , 
"move to landmark three . do n t change floors if already on twond floor .", "F ( landmark_1 ) & G ( third_floor )", False, , , 
"move to landmark three . do n t change floors if already on twond floor .", "F ( landmark_2 ) & G ( third_floor )", False, , , 
"move to landmark three . do n t change floors if already on twond floor .", "F ( landmark_1 ) & G ( first_floor )", False, , , 
"move to landmark three . do n t change floors if already on twond floor .", "F ( landmark_2 ) & G ( first_floor )", False, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( blue_room & F ( orange_room ) )", True, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( orange_room & F ( orange_room ) )", False, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( blue_room & F ( purple_room ) )", False, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( blue_room & F ( green_room ) )", False, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( orange_room & F ( purple_room ) )", False, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( purple_room & F ( orange_room ) )", False, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( orange_room & F ( green_room ) )", False, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( blue_room & F ( blue_room ) )", False, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( blue_room & F ( yellow_room ) )", False, , , 
"head to the orange room but make sure to go through the blue room first .", "F ( orange_room & F ( blue_room ) )", False, , , 
"avoid the red room until after navigating to the orange room .", "~ ( red_room ) U ( orange_room )", True, , , 
"avoid the red room until after navigating to the orange room .", "~ ( orange_room ) U ( orange_room )", False, , , 
"avoid the red room until after navigating to the orange room .", "~ ( green_room ) U ( orange_room )", False, , , 
"avoid the red room until after navigating to the orange room .", "~ ( yellow_room ) U ( orange_room )", False, , , 
"avoid the red room until after navigating to the orange room .", "~ ( red_room ) U ( red_room )", False, , , 
"avoid the red room until after navigating to the orange room .", "~ ( red_room ) U ( yellow_room )", False, , , 
"avoid the red room until after navigating to the orange room .", "~ ( orange_room ) U ( red_room )", False, , , 
"avoid the red room until after navigating to the orange room .", "~ ( red_room ) U ( green_room )", False, , , 
"go through the green room to landmark one .", "F ( green_room & F ( landmark_1 ) )", True, , , 
"go through the green room to landmark one .", "F ( green_room & F ( green_room ) )", False, , , 
"go through the green room to landmark one .", "F ( landmark_1 & F ( landmark_1 ) )", False, , , 
"go through the green room to landmark one .", "F ( green_room & F ( landmark_3 ) )", False, , , 
"go through the green room to landmark one .", "F ( green_room & F ( landmark_2 ) )", False, , , 
"go through the green room to landmark one .", "F ( yellow_room & F ( landmark_1 ) )", False, , , 
"go through the green room to landmark one .", "F ( landmark_1 & F ( green_room ) )", False, , , 
"go through the green room to landmark one .", "F ( green_room & F ( yellow_room ) )", False, , , 
"go through the green room to landmark one .", "F ( landmark_1 & F ( landmark_3 ) )", False, , , 
"avoid landmark three and go to the second floor .", "F ( second_floor & ~landmark_3 )", False, , , 
"avoid landmark three and go to the second floor .", "F ( second_floor & ~landmark_1 )", False, , , 
"avoid landmark three and go to the second floor .", "F ( second_floor & ~landmark_2 )", False, , , 
"avoid landmark three and go to the second floor .", "F ( third_floor & ~landmark_3 )", False, , , 
"avoid landmark three and go to the second floor .", "F ( third_floor & ~landmark_1 )", False, , , 
"avoid landmark three and go to the second floor .", "F ( first_floor & ~landmark_3 )", True, , , 
"avoid landmark three and go to the second floor .", "F ( second_floor & ~purple_room )", False, , , 
"avoid landmark three and go to the second floor .", "F ( third_floor & ~landmark_2 )", False, , , 
"avoid landmark three and go to the second floor .", "F ( first_floor & ~landmark_1 )", False, , , 
"always avoid going to landmark three through the green room", "~ ( green_room ) U ( landmark_3 )", True, , , 
"always avoid going to landmark three through the green room", "~ ( green_room ) U ( green_room )", False, , , 
"always avoid going to landmark three through the green room", "~ ( green_room ) U ( landmark_1 )", False, , , 
"always avoid going to landmark three through the green room", "~ ( green_room ) U ( purple_room )", False, , , 
"always avoid going to landmark three through the green room", "~ ( landmark_3 ) U ( landmark_3 )", False, , , 
"always avoid going to landmark three through the green room", "~ ( green_room ) U ( orange_room )", False, , , 
"always avoid going to landmark three through the green room", "~ ( green_room ) U ( landmark_2 )", False, , , 
"always avoid going to landmark three through the green room", "~ ( purple_room ) U ( landmark_3 )", False, , , 
"always avoid going to landmark three through the green room", "~ ( landmark_3 ) U ( green_room )", False, , , 
"go to the purple room through the blue room", "F ( blue_room & F ( purple_room ) )", True, , , 
"go to the purple room through the blue room", "F ( purple_room & F ( purple_room ) )", False, , , 
"go to the purple room through the blue room", "F ( blue_room & F ( blue_room ) )", False, , , 
"go to the purple room through the blue room", "F ( orange_room & F ( purple_room ) )", False, , , 
"go to the purple room through the blue room", "F ( blue_room & F ( landmark_3 ) )", False, , , 
"go to the purple room through the blue room", "F ( blue_room & F ( green_room ) )", False, , , 
"go to the purple room through the blue room", "F ( yellow_room & F ( purple_room ) )", False, , , 
"go to the purple room through the blue room", "F ( blue_room & F ( red_room ) )", False, , , 
"go to the purple room through the blue room", "F ( purple_room & F ( blue_room ) )", False, , , 
"go to the purple room through the blue room", "F ( blue_room & F ( yellow_room ) )", False, , , 
"go to orange room but do not go to green room .", "F ( orange_room & ~green_room )", True, , , 
"go to orange room but do not go to green room .", "F ( green_room & ~green_room )", False, , , 
"go to orange room but do not go to green room .", "F ( orange_room & ~orange_room )", False, , , 
"go to orange room but do not go to green room .", "F ( orange_room & ~purple_room )", False, , , 
"go to orange room but do not go to green room .", "F ( yellow_room & ~green_room )", False, , , 
"go to orange room but do not go to green room .", "F ( purple_room & ~green_room )", False, , , 
"go to the orange room through the third floor .", "F ( third_floor & F ( orange_room ) )", True, , , 
"go to the orange room through the third floor .", "F ( orange_room & F ( orange_room ) )", False, , , 
"go to the orange room through the third floor .", "F ( third_floor & F ( green_room ) )", False, , , 
"go to the orange room through the third floor .", "F ( second_floor & F ( orange_room ) )", False, , , 
"go to the orange room through the third floor .", "F ( blue_room & F ( orange_room ) )", False, , , 
"go to the orange room through the third floor .", "F ( third_floor & F ( third_floor ) )", False, , , 
"go to the orange room through the third floor .", "F ( first_floor & F ( orange_room ) )", False, , , 
"go to the orange room through the third floor .", "F ( orange_room & F ( green_room ) )", False, , , 
"go to the orange room through the third floor .", "F ( third_floor & F ( yellow_room ) )", False, , , 
"go to the orange room through the third floor .", "F ( green_room & F ( orange_room ) )", False, , , 
"go to landmark three but do not first go through the green room .", "~ ( green_room ) U ( landmark_3 )", True, , , 
"go to landmark three but do not first go through the green room .", "~ ( green_room ) U ( landmark_1 )", False, , , 
"go to landmark three but do not first go through the green room .", "~ ( green_room ) U ( green_room )", False, , , 
"go to landmark three but do not first go through the green room .", "~ ( landmark_3 ) U ( landmark_3 )", False, , , 
"go to landmark three but do not first go through the green room .", "~ ( purple_room ) U ( landmark_3 )", False, , , 
"go to landmark three but do not first go through the green room .", "~ ( yellow_room ) U ( landmark_3 )", False, , , 
"go to landmark three but do not first go through the green room .", "~ ( green_room ) U ( landmark_2 )", False, , , 
"go to landmark three but do not first go through the green room .", "~ ( green_room ) U ( purple_room )", False, , , 
"go to landmark three but do not first go through the green room .", "~ ( landmark_1 ) U ( landmark_3 )", False, , , 
"avoid the orange room until navigating to the red room .", "~ ( orange_room ) U ( orange_room )", False, , , 
"avoid the orange room until navigating to the red room .", "~ ( orange_room ) U ( red_room )", True, , , 
"avoid the orange room until navigating to the red room .", "~ ( red_room ) U ( orange_room )", False, , , 
"avoid the orange room until navigating to the red room .", "~ ( orange_room ) U ( purple_room )", False, , , 
"avoid the orange room until navigating to the red room .", "~ ( orange_room ) U ( green_room )", False, , , 
"avoid the orange room until navigating to the red room .", "~ ( orange_room ) U ( yellow_room )", False, , , 
"avoid the orange room until navigating to the red room .", "~ ( orange_room ) U ( blue_room )", False, , , 
"avoid the orange room until navigating to the red room .", "~ ( red_room ) U ( red_room )", False, , , 
"avoid the orange room until navigating to the red room .", "~ ( green_room ) U ( orange_room )", False, , , 
"avoid the purple room until reaching the second floor .", "~ ( purple_room ) U ( second_floor )", True, , , 
"avoid the purple room until reaching the second floor .", "~ ( purple_room ) U ( first_floor )", False, , , 
"avoid the purple room until reaching the second floor .", "~ ( purple_room ) U ( third_floor )", False, , , 
"avoid the purple room until reaching the second floor .", "~ ( green_room ) U ( second_floor )", False, , , 
"avoid the purple room until reaching the second floor .", "~ ( second_floor ) U ( second_floor )", False, , , 
"navigate through landmark one then go to landmark three .", "F ( landmark_1 & F ( landmark_3 ) )", True, , , 
"navigate through landmark one then go to landmark three .", "F ( landmark_1 & F ( landmark_1 ) )", False, , , 
"navigate through landmark one then go to landmark three .", "F ( landmark_3 & F ( landmark_3 ) )", False, , , 
"navigate through landmark one then go to landmark three .", "F ( landmark_3 & F ( landmark_1 ) )", False, , , 
"navigate through landmark one then go to landmark three .", "F ( landmark_1 & F ( yellow_room ) )", False, , , 
"navigate through landmark one then go to landmark three .", "F ( landmark_1 & F ( purple_room ) )", False, , , 
"navigate through landmark one then go to landmark three .", "F ( landmark_1 & F ( green_room ) )", False, , , 
"navigate through landmark one then go to landmark three .", "F ( landmark_1 & F ( landmark_2 ) )", False, , , 
"navigate through landmark one then go to landmark three .", "F ( landmark_3 & F ( yellow_room ) )", False, , , 
"go to the second floor and then head to landmark one .", "F ( second_floor & F ( landmark_1 ) )", True, , , 
"go to the second floor and then head to landmark one .", "F ( first_floor & F ( landmark_1 ) )", False, , , 
"go to the second floor and then head to landmark one .", "F ( third_floor & F ( landmark_1 ) )", False, , , 
"go to the second floor and then head to landmark one .", "F ( landmark_1 & F ( landmark_1 ) )", False, , , 
"go to the second floor and then head to landmark one .", "F ( second_floor & F ( landmark_3 ) )", False, , , 
"go to the second floor and then head to landmark one .", "F ( second_floor & F ( landmark_2 ) )", False, , , 
"go to the second floor and then head to landmark one .", "F ( second_floor & F ( yellow_room ) )", False, , , 
